"day","time","date","n","contestant"
"Saturday","10 am",2020-09-19,1,"ozo"
"Saturday","12 pm",2020-09-19,2,"ozo"
"Saturday","13 pm",2020-09-19,58,"ozo"
"Saturday","14 pm",2020-09-19,56,"ozo"
"Saturday","15 pm",2020-09-19,51,"ozo"
"Saturday","16 pm",2020-09-19,14,"ozo"
"Saturday","7 am",2020-09-19,2,"ozo"
"Wednesday","21 pm",2020-09-16,2,"ozo"
"Saturday","13 pm",2020-09-19,2," vee"
"Saturday","14 pm",2020-09-19,15," vee"
"Saturday","15 pm",2020-09-19,9," vee"
"Saturday","16 pm",2020-09-19,6," vee"
"Saturday","15 pm",2020-09-19,1," prince"
"Saturday","13 pm",2020-09-19,1," lilo"
"Saturday","14 pm",2020-09-19,2," lilo"
"Saturday","15 pm",2020-09-19,1," lilo"
"Saturday","16 pm",2020-09-19,1," lilo"
"Saturday","13 pm",2020-09-19,1," lucy"
"Saturday","14 pm",2020-09-19,1," lucy"
"Saturday","15 pm",2020-09-19,4," lucy"
"Saturday","16 pm",2020-09-19,1," lucy"
"Saturday","13 pm",2020-09-19,1," kiddwaya"
"Saturday","15 pm",2020-09-19,4," kiddwaya"
"Saturday","16 pm",2020-09-19,2," kiddwaya"
"Saturday","14 pm",2020-09-19,6," dorathy"
"Saturday","15 pm",2020-09-19,2," dorathy"
"Saturday","16 pm",2020-09-19,3," dorathy"
"Saturday","13 pm",2020-09-19,1," dorothy"
"Saturday","14 pm",2020-09-19,1," praise"
"Saturday","15 pm",2020-09-19,2," praise"
"Saturday","14 pm",2020-09-19,1," wathoni"
"Saturday","15 pm",2020-09-19,1," wathoni"
"Saturday","13 pm",2020-09-19,1," ka3na"
"Saturday","14 pm",2020-09-19,1," ka3na"
"Saturday","15 pm",2020-09-19,2," ka3na"
"Saturday","16 pm",2020-09-19,1," ka3na"
"Saturday","13 pm",2020-09-19,3," eric"
"Saturday","14 pm",2020-09-19,4," eric"
"Saturday","15 pm",2020-09-19,4," eric"
"Saturday","16 pm",2020-09-19,1," eric"
"Saturday","7 am",2020-09-19,1," eric"
"Saturday","13 pm",2020-09-19,3," erica"
"Saturday","14 pm",2020-09-19,4," erica"
"Saturday","15 pm",2020-09-19,4," erica"
"Saturday","16 pm",2020-09-19,1," erica"
"Saturday","7 am",2020-09-19,1," erica"
"Saturday","13 pm",2020-09-19,4," neo"
"Saturday","14 pm",2020-09-19,8," neo"
"Saturday","15 pm",2020-09-19,9," neo"
"Saturday","16 pm",2020-09-19,6," neo"
"Saturday","13 pm",2020-09-19,1," tolanibaj"
"Saturday","13 pm",2020-09-19,6," laycon"
"Saturday","14 pm",2020-09-19,15," laycon"
"Saturday","15 pm",2020-09-19,6," laycon"
"Saturday","16 pm",2020-09-19,6," laycon"
"Saturday","13 pm",2020-09-19,6," nengi"
"Saturday","14 pm",2020-09-19,11," nengi"
"Saturday","15 pm",2020-09-19,10," nengi"
"Saturday","16 pm",2020-09-19,4," nengi"
