"","word","n","contestant"
"1","bnaija",309,"ozo"
"2","bnaijockdown",147,"ozo"
"3","ozo",143,"ozo"
"4","nengi",134,"ozo"
"5","laycon",130,"ozo"
"6","kidwaya",104,"ozo"
"7","dorathy",68,"ozo"
"8","erica",66,"ozo"
"9","trikyte",59,"ozo"
"10","bigbrothernaija",51,"ozo"
"11","ve",51,"ozo"
"12","dorathybnaija",49,"ozo"
"13","ozobnaija",49,"ozo"
"14","wathoni",46,"ozo"
"15","bnaijaupdates",43,"ozo"
"16","tolanibaj",41,"ozo"
"17","ericabnaija",40,"ozo"
"18","folow",39,"ozo"
"19","neo",39,"ozo"
"20","lagos",36,"ozo"
"21","layconbnaija",36,"ozo"
"22","ve",68," vee"
"23","bnaija",64," vee"
"24","neo",45," vee"
"25","laycon",35," vee"
"26","housemate",27," vee"
"27","death",26," vee"
"28","bnaijockdown",24," vee"
"29","team",22," vee"
"30","threats",22," vee"
"31","sex",21," vee"
"32","padi",20," vee"
"33","housemates",15," vee"
"34","ozo",15," vee"
"35","bnaijareunion",14," vee"
"36","trikyte",14," vee"
"37","dorathy",13," vee"
"38","sending",13," vee"
"39","shop",12," vee"
"40","bigbrothernaija",11," vee"
"41","management",11," vee"
"42","nengi",11," vee"
"43","ay",2," prince"
"44","baba",2," prince"
"45","kidwaya",2," prince"
"46","prince",2," prince"
"47","ayo",1," prince"
"48","ayomakun",1," prince"
"49","babaidibia",1," prince"
"50","bigbrother",1," prince"
"51","birthday",1," prince"
"52","bnaij",1," prince"
"53","bnaija",1," prince"
"54","bnaijaseason",1," prince"
"55","bnaijiockdown",1," prince"
"56","bnaijiveupdates",1," prince"
"57","brother",1," prince"
"58","celebration",1," prince"
"59","comedian",1," prince"
"60","exbig",1," prince"
"61","harysdiary",1," prince"
"62","host",1," prince"
"63","joi",1," prince"
"64","legend",1," prince"
"65","makun",1," prince"
"66","music",1," prince"
"67","naija",1," prince"
"68","nelson",1," prince"
"69","oficibaba",1," prince"
"70","stars",1," prince"
"71","lilo",9," lilo"
"72","bnaija",7," lilo"
"73","bnaijockdown",7," lilo"
"74","ankarastylesafrica",3," lilo"
"75","bigbrothernaija",3," lilo"
"76","erica",3," lilo"
"77","kidwaya",3," lilo"
"78","laycon",3," lilo"
"79","nengi",3," lilo"
"80","â",2," lilo"
"81","bigbrothernigeria",2," lilo"
"82","buy",2," lilo"
"83","davido",2," lilo"
"84","didnt",2," lilo"
"85","dorathy",2," lilo"
"86","hustlersquare",2," lilo"
"87","lilovers",2," lilo"
"88","lockdown",2," lilo"
"89","naija",2," lilo"
"90","ozo",2," lilo"
"91","se",2," lilo"
"92","suaveafricans",2," lilo"
"93","tley",2," lilo"
"94","uf",2," lilo"
"95","ve",2," lilo"
"96","kana",13," lucy"
"97","bnaija",10," lucy"
"98","lucy",8," lucy"
"99","friendship",6," lucy"
"100","bnaijockdown",4," lucy"
"101","housemates",3," lucy"
"102","person",3," lucy"
