"","sentiment","date","n"
"1","negative","2020-09-04",3
"2","negative","2020-09-05",15
"3","negative","2020-09-07",6
"4","negative","2020-09-09",1
"5","negative","2020-09-10",10
"6","negative","2020-09-12",1
"7","negative","2020-09-15",2
"8","negative","2020-09-16",6
"9","negative","2020-09-17",2
"10","negative","2020-09-18",1
"11","negative","2020-09-19",525
"12","positive","2020-09-04",13
"13","positive","2020-09-05",40
"14","positive","2020-09-06",1
"15","positive","2020-09-07",10
"16","positive","2020-09-09",6
"17","positive","2020-09-10",9
"18","positive","2020-09-15",6
"19","positive","2020-09-16",4
"20","positive","2020-09-17",16
"21","positive","2020-09-18",4
"22","positive","2020-09-19",1799
