"","time","date","n"
"1","0 am",2020-09-12,1
"2","1 am",2020-09-19,2
"3","10 am",2020-09-04,1
"4","10 am",2020-09-05,3
"5","10 am",2020-09-19,1
"6","11 am",2020-09-04,3
"7","11 am",2020-09-19,16
"8","12 pm",2020-09-19,27
"9","13 pm",2020-09-07,1
"10","13 pm",2020-09-19,502
"11","14 pm",2020-09-05,1
"12","14 pm",2020-09-19,526
"13","15 pm",2020-09-05,1
"14","15 pm",2020-09-18,1
"15","15 pm",2020-09-19,499
"16","16 pm",2020-09-19,194
"17","17 pm",2020-09-10,1
"18","17 pm",2020-09-15,1
"19","17 pm",2020-09-16,1
"20","18 pm",2020-09-17,1
"21","20 pm",2020-09-06,1
"22","21 pm",2020-09-16,2
"23","22 pm",2020-09-18,1
"24","23 pm",2020-09-18,2
"25","6 am",2020-09-19,1
"26","7 am",2020-09-09,1
"27","7 am",2020-09-17,1
"28","7 am",2020-09-19,2
"29","8 am",2020-09-15,1
"30","9 am",2020-09-07,1
