"","sentiment","date","n"
"1","anger","2020-09-04",1
"2","anger","2020-09-05",16
"3","anger","2020-09-16",1
"4","anger","2020-09-19",367
"5","anticipation","2020-09-04",12
"6","anticipation","2020-09-05",9
"7","anticipation","2020-09-06",1
"8","anticipation","2020-09-15",1
"9","anticipation","2020-09-17",2
"10","anticipation","2020-09-18",1
"11","anticipation","2020-09-19",1832
"12","disgust","2020-09-04",1
"13","disgust","2020-09-05",3
"14","disgust","2020-09-10",3
"15","disgust","2020-09-19",104
"16","fear","2020-09-04",6
"17","fear","2020-09-05",5
"18","fear","2020-09-07",1
"19","fear","2020-09-15",1
"20","fear","2020-09-16",2
"21","fear","2020-09-19",142
"22","joy","2020-09-05",1
"23","joy","2020-09-10",2
"24","joy","2020-09-18",1
"25","joy","2020-09-19",805
"26","negative","2020-09-04",1
"27","negative","2020-09-05",4
"28","negative","2020-09-07",1
"29","negative","2020-09-09",1
"30","negative","2020-09-10",1
"31","negative","2020-09-18",1
"32","negative","2020-09-19",404
"33","positive","2020-09-04",8
"34","positive","2020-09-05",27
"35","positive","2020-09-06",1
"36","positive","2020-09-07",3
"37","positive","2020-09-10",4
"38","positive","2020-09-15",3
"39","positive","2020-09-17",4
"40","positive","2020-09-19",1150
"41","sadness","2020-09-19",21
"42","surprise","2020-09-05",4
"43","surprise","2020-09-19",26
"44","trust","2020-09-04",3
"45","trust","2020-09-10",1
"46","trust","2020-09-16",1
"47","trust","2020-09-18",1
"48","trust","2020-09-19",170
