"","value","n"
"1","@thrift_modest",22
"2","@tundeednut",19
"3","@mypaddi_ng",17
"4","@dezeana_mall",15
"5","@makkys_closet",14
"6","@aishaaliyublog",13
"7","@blogger__gain",13
"8","@jaguargains.3",12
"9","@lusso__watches,",12
"10","@megamaster_2",12
"11","@nuella_secrets",12
"12","@bigbronaija",11
"13","@stylevogue_",11
"14","@itslaycon",10
"15","@the_realgain",10
"16","@bellanaijaweddings",9
"17","@gainswithdiamond",9
"18","@instablog9ja",9
"19","@wizkidayo",9
"20","@asoebibella",8
"21","@asoebispecial",8
"22","@asookebyhof",8
"23","@ayoolaiya",8
"24","@davidoofficial",8
"25","@ericanlewedim",8
"26","@iamkennygeorge",8
"27","@krakstv",8
"28","@lightscopefotography",8
"29","@tovivansfashion9",8
"30","@tuffgigmusicempire",8
"31","@weddingguest",8
"32","@yabaleftonline",8
